timestamp_iso,ts_epoch,dt_s,mpu_num,ok,ax,ay,az,ax_g,ay_g,az_g,gx,gy,gz,gx_dps,gy_dps,gz_dps,roll_acc,pitch_acc
2025-08-25T14:40:35.536475+03:00,1756122035.536458,0.070702,2,True,13478,-11222,-3002,0.8226318359375,-0.6849365234375,-0.1832275390625,-71,-75,183,-4.329268292682928,-4.573170731707317,11.158536585365855,-104.97653078323081,-49.24217460509588
2025-08-25T14:40:35.607152+03:00,1756122035.607135,0.070676,1,True,12788,-11136,-236,0.780517578125,-0.6796875,-0.014404296875,10,-50,153,0.6097560975609757,-3.048780487804878,9.329268292682928,-91.21405926760163,-48.94374611990992
2025-08-25T14:40:35.607152+03:00,1756122035.607135,0.070676,2,True,13202,-11320,-3120,0.8057861328125,-0.69091796875,-0.1904296875,-60,-58,172,-3.658536585365854,-3.536585365853659,10.487804878048781,-105.40918358216747,-48.34953225229602
2025-08-25T14:40:35.677753+03:00,1756122035.677737,0.070602,1,True,12728,-11206,-340,0.77685546875,-0.6839599609375,-0.020751953125,15,-81,177,0.9146341463414634,-4.939024390243903,10.792682926829269,-91.73787026709508,-48.62555248976327
2025-08-25T14:40:35.677753+03:00,1756122035.677737,0.070602,2,True,12952,-11470,-3266,0.79052734375,-0.7000732421875,-0.1993408203125,-69,-104,210,-4.207317073170732,-6.341463414634147,12.80487804878049,-105.89392028279933,-47.36179360127384
2025-08-25T14:40:35.748299+03:00,1756122035.748282,0.070545,1,True,12360,-11540,-422,0.75439453125,-0.704345703125,-0.0257568359375,-9,-61,174,-0.5487804878048781,-3.7195121951219514,10.609756097560977,-92.09428361627732,-46.94592771722462
2025-08-25T14:40:35.748299+03:00,1756122035.748282,0.070545,2,True,12922,-11786,-3240,0.7886962890625,-0.7193603515625,-0.19775390625,-86,-69,184,-5.2439024390243905,-4.207317073170732,11.219512195121952,-105.37105195610854,-46.59179872665821
2025-08-25T14:40:35.818899+03:00,1756122035.818882,0.070599,1,True,12422,-11684,-434,0.7581787109375,-0.713134765625,-0.0264892578125,-8,-57,157,-0.48780487804878053,-3.4756097560975614,9.573170731707318,-92.12726157668253,-46.733836414050906
2025-08-25T14:40:35.818899+03:00,1756122035.818882,0.070599,2,True,12734,-11984,-3406,0.7772216796875,-0.7314453125,-0.2078857421875,-81,-55,179,-4.939024390243903,-3.353658536585366,10.914634146341465,-105.86579924606818,-45.62628439163637
2025-08-25T14:40:35.889416+03:00,1756122035.889401,0.070519,1,True,12254,-11964,-594,0.7479248046875,-0.730224609375,-0.0362548828125,-18,-28,167,-1.0975609756097562,-1.707317073170732,10.182926829268293,-92.84233969090994,-45.650802749879844
