timestamp_iso,ts_epoch,dt_s,mpu_num,ok,ax,ay,az,ax_g,ay_g,az_g,gx,gy,gz,gx_dps,gy_dps,gz_dps,kalX_deg,kalY_deg
2025-08-25T14:40:45.357429+03:00,1756122045.357413,0.070539,2,True,13782,-1562,-13134,0.8411865234375,-0.0953369140625,-0.8016357421875,-81,-137,-63,-4.939024390243903,-8.353658536585366,-3.8414634146341466,-184.95690307729183,-57.07316238890934
2025-08-25T14:40:45.427933+03:00,1756122045.427916,0.070503,1,True,14128,-1706,-10790,0.8623046875,-0.1041259765625,-0.6585693359375,33,-117,-92,2.0121951219512195,-7.134146341463415,-5.609756097560976,-179.8356251346239,-63.53474092572115
2025-08-25T14:40:45.427933+03:00,1756122045.427916,0.070503,2,True,13672,-1442,-13348,0.83447265625,-0.0880126953125,-0.814697265625,-55,-157,-49,-3.353658536585366,-9.573170731707318,-2.987804878048781,-192.55591844566806,-55.085244906465036
2025-08-25T14:40:45.498479+03:00,1756122045.498463,0.070546,1,True,14338,-1612,-10988,0.8751220703125,-0.098388671875,-0.670654296875,53,-254,-3,3.231707317073171,-15.487804878048783,-0.1829268292682927,-187.06594873158357,-62.04742107791956
2025-08-25T14:40:45.498479+03:00,1756122045.498463,0.070546,2,True,13580,-1476,-13610,0.828857421875,-0.090087890625,-0.8306884765625,-36,-325,36,-2.1951219512195124,-19.81707317073171,2.1951219512195124,-199.12636809781662,-53.82417422753069
2025-08-25T14:40:45.569067+03:00,1756122045.569051,0.070588,1,True,13584,-1672,-11168,0.8291015625,-0.10205078125,-0.681640625,59,-333,48,3.5975609756097566,-20.30487804878049,2.9268292682926833,-193.3601697611968,-60.75201349787335
2025-08-25T14:40:45.569067+03:00,1756122045.569051,0.070588,2,True,12642,-1416,-13700,0.7716064453125,-0.08642578125,-0.836181640625,-15,-323,71,-0.9146341463414634,-19.695121951219512,4.329268292682928,-204.77413313948813,-52.39698086233643
2025-08-25T14:40:45.639697+03:00,1756122045.639682,0.070631,1,True,12872,-1688,-11378,0.78564453125,-0.10302734375,-0.6944580078125,70,-247,95,4.2682926829268295,-15.060975609756099,5.7926829268292686,-198.79577170522322,-58.98472939936597
2025-08-25T14:40:45.639697+03:00,1756122045.639682,0.070631,2,True,12614,-1608,-13892,0.7698974609375,-0.09814453125,-0.847900390625,-12,-244,136,-0.7317073170731708,-14.878048780487806,8.292682926829269,-209.53018276268972,-50.717125881434285
2025-08-25T14:40:45.710311+03:00,1756122045.710295,0.070613,1,True,13182,-2114,-11694,0.8045654296875,-0.1290283203125,-0.7137451171875,51,-213,112,3.1097560975609757,-12.987804878048781,6.829268292682928,-203.33532149923997,-57.19804601720633
2025-08-25T14:40:45.710311+03:00,1756122045.710295,0.070613,2,True,12928,-2008,-14240,0.7890625,-0.12255859375,-0.869140625,-40,-197,86,-2.439024390243903,-12.01219512195122,5.2439024390243905,-213.49444391059453,-48.98757601279923
2025-08-25T14:40:45.780908+03:00,1756122045.780891,0.070596,1,True,13156,-2330,-11972,0.802978515625,-0.1422119140625,-0.730712890625,21,-161,6,1.2804878048780488,-9.817073170731708,0.3658536585365854,-207.20358179031803,-55.27243318284173
2025-08-25T14:40:45.780908+03:00,1756122045.780891,0.070596,2,True,12810,-2118,-14520,0.7818603515625,-0.1292724609375,-0.88623046875,-77,-163,-7,-4.695121951219512,-9.939024390243903,-0.426829268292683,-216.88994725725954,-47.189763143693874
2025-08-25T14:40:45.851484+03:00,1756122045.851469,0.070578,1,True,13120,-2258,-12188,0.80078125,-0.1378173828125,-0.743896484375,25,-164,-47,1.524390243902439,-10.0,-2.8658536585365857,-210.46468224402113,-53.46901869415704
2025-08-25T14:40:45.851484+03:00,1756122045.851469,0.070578,2,True,12624,-2002,-14674,0.7705078125,-0.1221923828125,-0.8956298828125,-59,-194,-25,-3.5975609756097566,-11.829268292682928,-1.524390243902439,-219.6404118536912,-45.60282550867648
2025-08-25T14:40:45.922019+03:00,1756122045.922004,0.070535,1,True,13002,-2142,-12372,0.7935791015625,-0.1307373046875,-0.755126953125,32,-256,-22,1.9512195121951221,-15.609756097560977,-1.3414634146341464,-213.17557454682327,-52.111458174589515
2025-08-25T14:40:45.922019+03:00,1756122045.922004,0.070535,2,True,12118,-1794,-14654,0.7396240234375,-0.1094970703125,-0.8944091796875,-36,-301,18,-2.1951219512195124,-18.353658536585368,1.0975609756097562,-221.81395752550506,-44.45484346798997
2025-08-25T14:40:45.992624+03:00,1756122045.992609,0.070605,1,True,12146,-1948,-12564,0.7413330078125,-0.118896484375,-0.766845703125,96,-278,58,5.853658536585367,-16.951219512195124,3.536585365853659,-215.21750908862865,-50.69636500570005
2025-08-25T14:40:45.992624+03:00,1756122045.992609,0.070605,2,True,11496,-1898,-14966,0.70166015625,-0.1158447265625,-0.9134521484375,29,-253,82,1.7682926829268295,-15.426829268292684,5.0,-223.20158928007342,-42.99088866630033
2025-08-25T14:40:46.063119+03:00,1756122046.063104,0.070495,1,True,11786,-2268,-12732,0.7193603515625,-0.138427734375,-0.777099609375,101,-201,67,6.158536585365854,-12.256097560975611,4.085365853658537,-216.61080930739604,-48.957012451300486
2025-08-25T14:40:46.063119+03:00,1756122046.063104,0.070495,2,True,11662,-2158,-15102,0.7117919921875,-0.1317138671875,-0.9217529296875,20,-210,81,1.2195121951219514,-12.80487804878049,4.939024390243903,-224.07475459256102,-41.50669074651786
2025-08-25T14:40:46.133633+03:00,1756122046.133614,0.070510,1,True,12208,-2456,-12984,0.7451171875,-0.14990234375,-0.79248046875,92,-246,74,5.609756097560976,-15.000000000000002,4.51219512195122,-217.55466538536223,-47.59158352076196
2025-08-25T14:40:46.133633+03:00,1756122046.133614,0.070510,2,True,11558,-2246,-15556,0.7054443359375,-0.1370849609375,-0.949462890625,-12,-291,78,-0.7317073170731708,-17.743902439024392,4.75609756097561,-224.67343041211814,-40.35547443005469
2025-08-25T14:40:46.204449+03:00,1756122046.204433,0.070819,1,True,11960,-2558,-13306,0.72998046875,-0.1561279296875,-0.8121337890625,42,-304,43,2.5609756097560976,-18.53658536585366,2.6219512195121952,-218.31953339459406,-46.42554364159326
2025-08-25T14:40:46.204449+03:00,1756122046.204433,0.070819,2,True,11730,-2522,-15798,0.7159423828125,-0.1539306640625,-0.9642333984375,-69,-378,20,-4.207317073170732,-23.04878048780488,1.2195121951219514,-225.05669189402386,-39.63288881858908
2025-08-25T14:40:46.274959+03:00,1756122046.274943,0.070510,1,True,11640,-2982,-13430,0.71044921875,-0.1820068359375,-0.8197021484375,6,-433,-54,0.3658536585365854,-26.402439024390247,-3.2926829268292686,-218.65100726347768,-45.72233346699244
2025-08-25T14:40:46.274959+03:00,1756122046.274943,0.070510,2,True,10760,-2664,-16016,0.65673828125,-0.16259765625,-0.9775390625,-88,-395,-106,-5.365853658536586,-24.085365853658537,-6.463414634146342,-225.09825068471898,-38.73339591885946
2025-08-25T14:40:46.345559+03:00,1756122046.345542,0.070599,1,True,10654,-2656,-14128,0.6502685546875,-0.162109375,-0.8623046875,8,-216,-183,0.48780487804878053,-13.170731707317074,-11.158536585365855,-218.8695509556229,-43.82334416882764
2025-08-25T14:40:46.345559+03:00,1756122046.345542,0.070599,2,True,10436,-2192,-16342,0.636962890625,-0.1337890625,-0.9974365234375,-103,-168,-180,-6.2804878048780495,-10.24390243902439,-10.975609756097562,-225.09812006985985,-36.90318740601817
2025-08-25T14:40:46.416201+03:00,1756122046.416183,0.070641,1,True,10964,-2094,-14196,0.669189453125,-0.1278076171875,-0.866455078125,2,-170,-158,0.12195121951219513,-10.365853658536587,-9.634146341463415,-219.06624617645463,-42.01500977598469
2025-08-25T14:40:46.416201+03:00,1756122046.416183,0.070641,2,True,10068,-1858,-16430,0.614501953125,-0.1134033203125,-1.0028076171875,-99,-205,-88,-6.036585365853659,-12.500000000000002,-5.365853658536586,-224.9244461692963,-35.28219090857755
2025-08-25T14:40:46.486690+03:00,1756122046.486674,0.070491,1,True,10728,-2092,-14196,0.65478515625,-0.127685546875,-0.866455078125,-2,-233,-58,-0.12195121951219513,-14.207317073170733,-3.536585365853659,-218.98137958295644,-40.55949119627394
2025-08-25T14:40:46.486690+03:00,1756122046.486674,0.070491,2,True,9988,-1922,-16524,0.609619140625,-0.1173095703125,-1.008544921875,-92,-267,-14,-5.609756097560976,-16.28048780487805,-0.853658536585366,-224.42542712366122,-34.02006099540664
2025-08-25T14:40:46.557284+03:00,1756122046.557268,0.070594,1,True,10286,-2122,-14418,0.6278076171875,-0.1295166015625,-0.8800048828125,-11,-264,-3,-0.6707317073170732,-16.097560975609756,-0.1829268292682927,-218.68456600532224,-39.18737887397614
2025-08-25T14:40:46.557284+03:00,1756122046.557268,0.070594,2,True,9624,-1908,-16738,0.58740234375,-0.116455078125,-1.0216064453125,-104,-263,30,-6.341463414634147,-16.03658536585366,1.829268292682927,-223.7654705721728,-32.72673477628127
2025-08-25T14:40:46.627828+03:00,1756122046.627812,0.070544,1,True,10400,-2424,-14352,0.634765625,-0.14794921875,-0.8759765625,-28,-287,15,-1.707317073170732,-17.5,0.9146341463414634,-218.0836115328593,-38.072972104053534
2025-08-25T14:40:46.627828+03:00,1756122046.627812,0.070544,2,True,9604,-2102,-16968,0.586181640625,-0.1282958984375,-1.03564453125,-126,-311,4,-7.682926829268293,-18.963414634146343,0.24390243902439027,-222.9170100541768,-31.699309069452987
2025-08-25T14:40:46.698356+03:00,1756122046.698340,0.070528,1,True,9882,-2278,-14908,0.6031494140625,-0.1390380859375,-0.909912109375,-45,-277,-56,-2.7439024390243905,-16.890243902439025,-3.414634146341464,-217.44934771075032,-36.77195826618198
2025-08-25T14:40:46.698356+03:00,1756122046.698340,0.070528,2,True,9072,-1874,-16978,0.5537109375,-0.1143798828125,-1.0362548828125,-137,-270,-57,-8.353658536585366,-16.463414634146343,-3.4756097560975614,-222.01203634058245,-30.466016384284266
2025-08-25T14:40:46.769007+03:00,1756122046.768991,0.070650,1,True,9602,-2106,-15058,0.5860595703125,-0.1285400390625,-0.9190673828125,-29,-237,-80,-1.7682926829268295,-14.451219512195124,-4.878048780487806,-216.65615199185004,-35.334968907833705
2025-08-25T14:40:46.769007+03:00,1756122046.768991,0.070650,2,True,8932,-1920,-17280,0.545166015625,-0.1171875,-1.0546875,-123,-251,-68,-7.500000000000001,-15.30487804878049,-4.146341463414634,-220.88774730319503,-29.19540063183103
2025-08-25T14:40:46.839532+03:00,1756122046.839517,0.070526,1,True,9254,-2040,-15212,0.5648193359375,-0.12451171875,-0.928466796875,-41,-222,-103,-2.5,-13.536585365853659,-6.2804878048780495,-215.77807796832914,-33.853525186071735
2025-08-25T14:40:46.839532+03:00,1756122046.839517,0.070526,2,True,8480,-1634,-17236,0.517578125,-0.0997314453125,-1.052001953125,-135,-215,-78,-8.231707317073171,-13.109756097560977,-4.75609756097561,-219.76879876044438,-27.797449850380264
2025-08-25T14:40:46.910049+03:00,1756122046.910035,0.070518,1,True,8822,-1774,-15286,0.5384521484375,-0.1082763671875,-0.9329833984375,-40,-209,-62,-2.439024390243903,-12.74390243902439,-3.780487804878049,-214.86700032834494,-32.33176330429825
2025-08-25T14:40:46.910049+03:00,1756122046.910035,0.070518,2,True,8088,-1418,-17416,0.49365234375,-0.0865478515625,-1.06298828125,-131,-203,-22,-7.987804878048781,-12.378048780487806,-1.3414634146341464,-218.59368458178022,-26.36010660405947
2025-08-25T14:40:46.980753+03:00,1756122046.980736,0.070701,1,True,8884,-1866,-15528,0.542236328125,-0.1138916015625,-0.94775390625,-36,-185,-21,-2.1951219512195124,-11.28048780487805,-1.2804878048780488,-213.79367701204998,-30.846901611823995
2025-08-25T14:40:46.980753+03:00,1756122046.980736,0.070701,2,True,8192,-1606,-17518,0.5,-0.0980224609375,-1.0692138671875,-119,-188,-6,-7.25609756097561,-11.463414634146343,-0.3658536585365854,-217.2059689917324,-25.03041225747762
2025-08-25T14:40:47.051258+03:00,1756122047.051243,0.070507,1,True,8680,-1784,-15638,0.52978515625,-0.10888671875,-0.9544677734375,-24,-155,-37,-1.4634146341463417,-9.451219512195122,-2.25609756097561,-212.59767853688712,-29.329532345412716
2025-08-25T14:40:47.051258+03:00,1756122047.051243,0.070507,2,True,7984,-1418,-17722,0.4873046875,-0.0865478515625,-1.0816650390625,-122,-181,-2,-7.439024390243903,-11.036585365853659,-0.12195121951219513,-215.81423525908414,-23.73792632284563
2025-08-25T14:40:47.121809+03:00,1756122047.121792,0.070549,1,True,8554,-1648,-15764,0.5220947265625,-0.1005859375,-0.962158203125,-35,-250,24,-2.1341463414634148,-15.243902439024392,1.4634146341463417,-211.42258032401375,-28.283617923324904
